Premier League,jornada-35, 8 de mayo,,,,,,,
Premier League,jornada-36, 11 y 12 de mayo,,,,,,,
Premier League,jornada-37, 15 de mayo,,,,,,,
Premier League,jornada-38, 23 de mayo,,,,,,,
Europa League,1a-eliminatoria, 25 de agosto,,,,,,,
Europa League,fase-de-grupos, Desde 22 de octubre hasta 10 de diciembre,442,3.09,644,976,27,571,763
Champions,fase-de-grupos, Desde 20 de octubre hasta 09 de diciembre,201,3.14,252,135,12,242,397
Liga 1|2|3,jornada-1," 12, 13 de sep. 4 y 5 de nov.",20,1.82,49,11,2,49,53
Liga 1|2|3,jornada-2," 19, 20 de sep. 9 y 10 de dic.",23,2.09,62,15,3,45,45
Liga 1|2|3,jornada-3, 26 y 27 de septiembre,25,2.27,49,56,10,46,48
Liga 1|2|3,jornada-4, 3 y 4 de octubre,23,2.09,55,14,4,31,53
Liga 1|2|3,jornada-5, 10 y 11 de octubre,13,1.18,57,14,4,37,44
Liga 1|2|3,jornada-6," 17, 18 de oct. y 5 de nov.",17,1.55,56,5,1,43,45
Liga 1|2|3,jornada-7," 21, 22 de oct. y 9 de dic.",15,1.36,58,0,2,35,61
Liga 1|2|3,jornada-8," 24, 25 y 26 de octubre",25,2.27,46,19,2,27,52
Liga 1|2|3,jornada-9," 27, 28 y 29 de octubre",28,2.55,57,0,5,50,48
Liga 1|2|3,jornada-10, 31 de oct. 1 y 2 de nov.,19,1.73,50,2,5,43,60
Liga 1|2|3,jornada-11," 6, 7, 8 y 9 de noviembre",22,2.0,51,12,5,35,55
Liga 1|2|3,jornada-12," 13, 14, 15 y 16 de nov.",20,1.82,55,14,7,45,45
Liga 1|2|3,jornada-13," 20, 21, 22 y 23 de nov.",28,2.55,54,14,4,38,43
Liga 1|2|3,jornada-14," 24, 25 y 26 de noviembre",23,2.09,54,2,4,39,42
Liga 1|2|3,jornada-15," 27, 28, 29 y 30 de nov.",31,2.82,41,0,2,31,56
Liga 1|2|3,jornada-16," 1, 2 y 3 de diciembre",20,1.82,57,11,4,31,38
Liga 1|2|3,jornada-17," 5, 6 y 7 de diciembre",17,1.55,56,20,2,36,51
Liga 1|2|3,jornada-18," 11, 12, 13 y 14 de dic.",23,2.09,52,17,5,33,44
Liga 1|2|3,jornada-19," 18, 19, 20 y 21 de dic.",,,,,,,
Liga 1|2|3,jornada-20," 2, 3 y 4 de enero",,,,,,,
Liga 1|2|3,jornada-21, 10 de enero,,,,,,,
Liga 1|2|3,jornada-22, 24 de enero,,,,,,,
Liga 1|2|3,jornada-23, 31 de enero,,,,,,,
Liga 1|2|3,jornada-24, 7 de febrero,,,,,,,
Liga 1|2|3,jornada-25, 14 de febrero,,,,,,,
