Liga Santander,jornada-12,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-12,Villarreal,Gerard Moreno,10
Liga Santander,jornada-12,Atlético,Jan Oblak,8
Liga Santander,jornada-12,Sevilla,Yassine Bounou,13
Liga Santander,jornada-12,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-12,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-13,Atlético,Luis Suárez,12
Liga Santander,jornada-13,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-13,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-13,Villarreal,Gerard Moreno,10
Liga Santander,jornada-13,Atlético,Jan Oblak,8
Liga Santander,jornada-13,Sevilla,Yassine Bounou,13
Liga Santander,jornada-13,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-13,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-14,Atlético,Luis Suárez,12
Liga Santander,jornada-14,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-14,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-14,Villarreal,Gerard Moreno,10
Liga Santander,jornada-14,Atlético,Jan Oblak,8
Liga Santander,jornada-14,Sevilla,Yassine Bounou,13
Liga Santander,jornada-14,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-14,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-15,Atlético,Luis Suárez,12
Liga Santander,jornada-15,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-15,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-15,Villarreal,Gerard Moreno,10
Liga Santander,jornada-15,Atlético,Jan Oblak,8
Liga Santander,jornada-15,Sevilla,Yassine Bounou,13
Liga Santander,jornada-15,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-15,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-16,Atlético,Luis Suárez,12
Liga Santander,jornada-16,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-16,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-16,Villarreal,Gerard Moreno,10
Liga Santander,jornada-16,Atlético,Jan Oblak,8
Liga Santander,jornada-16,Sevilla,Yassine Bounou,13
Liga Santander,jornada-16,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-16,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-17,Atlético,Luis Suárez,12
Liga Santander,jornada-17,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-17,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-17,Villarreal,Gerard Moreno,10
Liga Santander,jornada-17,Atlético,Jan Oblak,8
Liga Santander,jornada-17,Sevilla,Yassine Bounou,13
Liga Santander,jornada-17,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-17,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-18,Atlético,Luis Suárez,12
Liga Santander,jornada-18,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-18,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-18,Villarreal,Gerard Moreno,10
Liga Santander,jornada-18,Atlético,Jan Oblak,8
Liga Santander,jornada-18,Sevilla,Yassine Bounou,13
Liga Santander,jornada-18,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-18,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-19,Atlético,Luis Suárez,12
Liga Santander,jornada-19,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-19,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-19,Villarreal,Gerard Moreno,10
Liga Santander,jornada-19,Atlético,Jan Oblak,8
Liga Santander,jornada-19,Sevilla,Yassine Bounou,13
Liga Santander,jornada-19,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-19,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-20,Atlético,Luis Suárez,12
Liga Santander,jornada-20,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-20,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-20,Villarreal,Gerard Moreno,10
Liga Santander,jornada-20,Atlético,Jan Oblak,8
Liga Santander,jornada-20,Sevilla,Yassine Bounou,13
Liga Santander,jornada-20,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-20,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-21,Atlético,Luis Suárez,12
Liga Santander,jornada-21,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-21,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-21,Villarreal,Gerard Moreno,10
Liga Santander,jornada-21,Atlético,Jan Oblak,8
Liga Santander,jornada-21,Sevilla,Yassine Bounou,13
Liga Santander,jornada-21,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-21,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-22,Atlético,Luis Suárez,12
Liga Santander,jornada-22,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-22,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-22,Villarreal,Gerard Moreno,10
Liga Santander,jornada-22,Atlético,Jan Oblak,8
Liga Santander,jornada-22,Sevilla,Yassine Bounou,13
Liga Santander,jornada-22,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-22,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-23,Atlético,Luis Suárez,12
Liga Santander,jornada-23,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-23,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-23,Villarreal,Gerard Moreno,10
Liga Santander,jornada-23,Atlético,Jan Oblak,8
Liga Santander,jornada-23,Sevilla,Yassine Bounou,13
Liga Santander,jornada-23,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-23,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-24,Atlético,Luis Suárez,12
Liga Santander,jornada-24,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-24,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-24,Villarreal,Gerard Moreno,10
Liga Santander,jornada-24,Atlético,Jan Oblak,8
Liga Santander,jornada-24,Sevilla,Yassine Bounou,13
Liga Santander,jornada-24,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-24,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-25,Atlético,Luis Suárez,12
Liga Santander,jornada-25,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-25,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-25,Villarreal,Gerard Moreno,10
Liga Santander,jornada-25,Atlético,Jan Oblak,8
Liga Santander,jornada-25,Sevilla,Yassine Bounou,13
Liga Santander,jornada-25,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-25,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-26,Atlético,Luis Suárez,12
Liga Santander,jornada-26,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-26,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-26,Villarreal,Gerard Moreno,10
Liga Santander,jornada-26,Atlético,Jan Oblak,8
Liga Santander,jornada-26,Sevilla,Yassine Bounou,13
Liga Santander,jornada-26,FC Barcelona,Marc-André ter Stegen,11
Liga Santander,jornada-26,Real Madrid,Thibaut Courtois,18
Liga Santander,jornada-27,Atlético,Luis Suárez,12
Liga Santander,jornada-27,Sevilla,Youssef En-Nesyri,12
Liga Santander,jornada-27,FC Barcelona,Lionel Messi,11
Liga Santander,jornada-27,Villarreal,Gerard Moreno,10
Liga Santander,jornada-27,Atlético,Jan Oblak,8
