Titulo,Link,Resumen
"Defensa y Justicia, campeón de la Copa Sudamericana 2020Copa Sudamericana",https://www.eluniverso.com/deportes/2021/01/23/nota/9599239/vivo-lanus-vs-defensa-justicia-final-copa-sudamericana-2020,"El elenco 'Granate', en el cual es asistente del DT Luis Zubeldía el ecuatoriano Carlos Gruezo, pierde su segunda final internacional."
"El United llegó a interesarse en Moisés Caicedo, pero intermediarios estropearon negociación, revela diario inglésPremier League",https://www.eluniverso.com/deportes/2021/01/23/nota/9599227/moises-caicedo-manchester-united-agentes-estropearon-negociacion,"Finalmente, el Brighton pagó a Independiente del Valle por Caicedo unos $ 6 millones."
Moisés Caicedo tuvo una emotiva despedida antes de viajar a Inglaterra por su fichaje por el BrightonPremier League,https://www.eluniverso.com/deportes/2021/01/23/nota/9599164/moises-caicedo-viajo-inglaterra-examenes-medicos-brighton,La última promesa del fútbol ecuatoriano viajó el viernes por la noche desde Quito. 
Mercado de fichajes en Ecuador: lo más destacado en la LigaPro de hoy 23 de enero de 2021Fichajes en Ecuador,https://www.eluniverso.com/deportes/2021/01/23/nota/9599146/mercado-fichajes-ecuador-mas-destacado-ligapro-hoy-23-enero-2021,EL UNIVERSO registra los jugadores confirmados para el 2021.
9 de Octubre sustituye a Barcelona SC en el cuadro de la Supercopa Ecuador 2021,https://www.eluniverso.com/deportes/2021/01/23/nota/9599128/fef-supercopa-invita-9-octubre-ante-negativa-barcelonasc,La FEF resolvió invitar al campeón de la LigaPro Serie B para completar el torneo y el fixture.
"Cristian Colmán: Mi querido Barcelona, me despido de esta hermosa instituciónLiga Pro",https://www.eluniverso.com/deportes/2021/01/23/nota/9599089/barcelona-sc-cristian-colman-despedida,"El paraguayo sale del equipo luego de jugar temporada, pero deja abierta la opción para regresar."
Pervis Estupiñán ya no es titular indiscutible en el VillarrealLa Liga,https://www.eluniverso.com/deportes/2021/01/23/nota/9599086/pervis-estupinan-juega-15-minutos-empate-villarreal-huesca-laliga,Alfonso Pedraza es titular en el lateral izquierdo y ha relegado al ecuatoriano a ser alternante.
Fidel Martínez le da la victoria a Xolos en el campo de PueblaLiga MX,https://www.eluniverso.com/deportes/2021/01/23/nota/9599068/fidel-martinez-le-da-victoria-xolos-campo-puebla,(VIDEO) El resultado le otorga a Tijuana sus primeros tres puntos en el certamen y el ascenso al tercer lugar de la clasificación al sumar cinco...
Catar exigirá test negativo de COVID-19 a los espectadores en el Mundial de clubesMundial de Clubes,https://www.eluniverso.com/deportes/2021/01/23/nota/9599062/mundial-clubes-pruebas-negativas-coronavirus-espectadores,El número de espectadores a los juegos será limitado al 30 % de la capacidad de cada uno de los dos estadios de 40.000 plazas.
"UFC 257 | Dustin Poirier vs. Conor McGregor: cartelera, horarios y canales de TV para ver EN VIVO",https://www.eluniverso.com/deportes/2021/01/22/nota/9598663/ufc-257-poirier-mcgregor-cartelera-horarios-canales-tv-ver-vivo,El evento coestelar de UFC 257 lo protagonizarán Dan Hooker y Michael Chandler en un combate de peso ligero también.
"Marina Pérez irá a los Juegos de Tokio, pero trabaja sin un entrenadorJuegos Olímpicos Tokio 2020",https://www.eluniverso.com/deportes/2021/01/22/nota/9598639/marina-perez-clasificada-juegos-tokio-trabaja-entrenador,La guayaquileña cumplirá en febrero próximo diez años practicando tiro olímpico.
Amistosos de Barcelona SC serán contra el Manta FC y Guayaquil City; GolTV estará a cargo de la transmisión ,https://www.eluniverso.com/deportes/2021/01/23/nota/9598534/amistosos-barcelona-sc-manta-fc-guayaquil-city-goltv-transmision,Barcelona afrontará dos partidos antes de la presentación de su plantel en la Noche Amarilla. La dirigencia del club hizo el anuncio oficial con dos...
