Liga Santander,jornada-10,Alavés,Valencia,2,2
Liga Santander,jornada-10,Athletic,Betis,4,0
Liga Santander,jornada-11,Valladolid,Levante,1,1
Liga Santander,jornada-11,Elche,Cádiz,1,1
Liga Santander,jornada-11,Valencia,Atlético,0,1
Liga Santander,jornada-11,Huesca,Sevilla,0,1
Liga Santander,jornada-11,Real Madrid,Alavés,1,2
Liga Santander,jornada-11,FC Barcelona,Osasuna,4,0
Liga Santander,jornada-11,Getafe,Athletic,1,1
Liga Santander,jornada-11,Celta,Granada,3,1
Liga Santander,jornada-11,R. Sociedad,Villarreal,1,1
Liga Santander,jornada-11,Betis,Eibar,0,2
Liga Santander,jornada-12,Athletic,Celta,0,2
Liga Santander,jornada-12,Levante,Getafe,3,0
Liga Santander,jornada-12,Sevilla,Real Madrid,0,1
Liga Santander,jornada-12,Atlético,Valladolid,2,0
Liga Santander,jornada-12,Cádiz,FC Barcelona,2,1
Liga Santander,jornada-12,Granada,Huesca,3,3
Liga Santander,jornada-12,Osasuna,Betis,0,2
Liga Santander,jornada-12,Villarreal,Elche,0,0
Liga Santander,jornada-12,Alavés,R. Sociedad,0,0
Liga Santander,jornada-12,Eibar,Valencia,0,0
Liga Santander,jornada-13,Valladolid,Osasuna,3,2
Liga Santander,jornada-13,Valencia,Athletic,2,2
Liga Santander,jornada-13,Getafe,Sevilla,0,1
Liga Santander,jornada-13,Huesca,Alavés,1,0
Liga Santander,jornada-13,Real Madrid,Atlético,2,0
Liga Santander,jornada-13,R. Sociedad,Eibar,1,1
Liga Santander,jornada-13,Betis,Villarreal,1,1
Liga Santander,jornada-13,Elche,Granada,0,1
Liga Santander,jornada-13,FC Barcelona,Levante,1,0
Liga Santander,jornada-13,Celta,Cádiz,4,0
Liga Santander,jornada-14,Athletic,Huesca,2,0
Liga Santander,jornada-14,Atlético,Elche,3,1
Liga Santander,jornada-14,FC Barcelona,Valencia,2,2
Liga Santander,jornada-14,Osasuna,Villarreal,1,3
Liga Santander,jornada-14,Levante,R. Sociedad,2,1
Liga Santander,jornada-14,Sevilla,Valladolid,1,1
Liga Santander,jornada-14,Celta,Alavés,2,0
Liga Santander,jornada-14,Granada,Betis,2,0
Liga Santander,jornada-14,Cádiz,Getafe,0,2
Liga Santander,jornada-14,Eibar,Real Madrid,1,3
Liga Santander,jornada-15,Valencia,Sevilla,0,1
Liga Santander,jornada-15,Elche,Osasuna,2,2
Liga Santander,jornada-15,Huesca,Levante,1,1
Liga Santander,jornada-15,R. Sociedad,Atlético,0,2
Liga Santander,jornada-15,Villarreal,Athletic,1,1
Liga Santander,jornada-15,Valladolid,FC Barcelona,0,3
Liga Santander,jornada-15,Getafe,Celta,1,1
Liga Santander,jornada-15,Real Madrid,Granada,2,0
Liga Santander,jornada-15,Alavés,Eibar,2,1
Liga Santander,jornada-15,Betis,Cádiz,1,0
Liga Santander,jornada-16,Sevilla,Villarreal,2,0
Liga Santander,jornada-16,FC Barcelona,Eibar,1,1
Liga Santander,jornada-16,Cádiz,Valladolid,0,0
Liga Santander,jornada-16,Levante,Betis,4,3
Liga Santander,jornada-16,Granada,Valencia,2,1
Liga Santander,jornada-16,Celta,Huesca,2,1
Liga Santander,jornada-16,Atlético,Getafe,1,0
Liga Santander,jornada-16,Elche,Real Madrid,1,1
Liga Santander,jornada-16,Athletic,R. Sociedad,0,1
Liga Santander,jornada-16,Osasuna,Alavés,1,1
Liga Santander,jornada-17,Villarreal,Levante,2,1
Liga Santander,jornada-17,Betis,Sevilla,1,1
Liga Santander,jornada-17,Getafe,Valladolid,0,1
Liga Santander,jornada-17,Real Madrid,Celta,2,0
Liga Santander,jornada-17,Athletic,Elche,1,0
Liga Santander,jornada-17,Alavés,Atlético,1,2
Liga Santander,jornada-17,Eibar,Granada,2,0
Liga Santander,jornada-17,R. Sociedad,Osasuna,1,1
Liga Santander,jornada-17,Huesca,FC Barcelona,0,1
Liga Santander,jornada-17,Valencia,Cádiz,1,1
Liga Santander,jornada-18,Celta,Villarreal,0,4
Liga Santander,jornada-18,Sevilla,R. Sociedad,3,2
Liga Santander,jornada-18,Granada,FC Barcelona,0,4
Liga Santander,jornada-18,Osasuna,Real Madrid,0,0
Liga Santander,jornada-18,Levante,Eibar,2,1
Liga Santander,jornada-18,Cádiz,Alavés,3,1
Liga Santander,jornada-18,Valladolid,Valencia,0,1
Liga Santander,jornada-18,Elche,Getafe,1,3
Liga Santander,jornada-18,Huesca,Betis,0,2
Liga Santander,jornada-18,Atlético,Athletic,19:00 10/03,19:00 10/03
Liga Santander,jornada-19,Real Madrid,Athletic,3,1
Liga Santander,jornada-19,FC Barcelona,R. Sociedad,2,1
Liga Santander,jornada-19,Cádiz,Levante,2,2
Liga Santander,jornada-19,Valladolid,Elche,2,2
Liga Santander,jornada-19,Alavés,Sevilla,1,2
Liga Santander,jornada-19,Getafe,Huesca,1,0
Liga Santander,jornada-19,Betis,Celta,2,1
Liga Santander,jornada-19,Villarreal,Granada,2,2
Liga Santander,jornada-19,Valencia,Osasuna,1,1
Liga Santander,jornada-19,Eibar,Atlético,1,2
Liga Santander,jornada-20,Levante,Valladolid,2,2
Liga Santander,jornada-20,Huesca,Villarreal,0,0
Liga Santander,jornada-20,Sevilla,Cádiz,3,0
Liga Santander,jornada-20,R. Sociedad,Betis,2,2
Liga Santander,jornada-20,Alavés,Real Madrid,1,4
Liga Santander,jornada-20,Osasuna,Granada,3,1
Liga Santander,jornada-20,Elche,FC Barcelona,0,2
Liga Santander,jornada-20,Celta,Eibar,1,1
Liga Santander,jornada-20,Atlético,Valencia,3,1
Liga Santander,jornada-20,Athletic,Getafe,5,1
Liga Santander,jornada-21,Valladolid,Huesca,1,3
Liga Santander,jornada-21,Eibar,Sevilla,0,2
Liga Santander,jornada-21,Real Madrid,Levante,1,2
Liga Santander,jornada-21,Valencia,Elche,1,0
Liga Santander,jornada-21,Villarreal,R. Sociedad,1,1
Liga Santander,jornada-21,Getafe,Alavés,14:00 31/01,14:00 31/01
Liga Santander,jornada-21,Cádiz,Atlético,16:15 31/01,16:15 31/01
Liga Santander,jornada-21,Granada,Celta,18:30 31/01,18:30 31/01
Liga Santander,jornada-21,FC Barcelona,Athletic,21:00 31/01,21:00 31/01
Liga Santander,jornada-21,Betis,Osasuna,21:00 01/02,21:00 01/02
Liga Santander,jornada-22,Alavés,Valladolid,21:00 05/02,21:00 05/02
Liga Santander,jornada-22,Levante,Granada,14:00 06/02,14:00 06/02
Liga Santander,jornada-22,Huesca,Real Madrid,16:15 06/02,16:15 06/02
Liga Santander,jornada-22,Elche,Villarreal,18:30 06/02,18:30 06/02
Liga Santander,jornada-22,Sevilla,Getafe,21:00 06/02,21:00 06/02
Liga Santander,jornada-22,R. Sociedad,Cádiz,14:00 07/02,14:00 07/02
Liga Santander,jornada-22,Athletic,Valencia,16:15 07/02,16:15 07/02
Liga Santander,jornada-22,Osasuna,Eibar,18:30 07/02,18:30 07/02
Liga Santander,jornada-22,Betis,FC Barcelona,21:00 07/02,21:00 07/02
Liga Santander,jornada-22,Atlético,Celta,21:00 08/02,21:00 08/02
Liga Santander,jornada-23,Levante,Osasuna,21:00 12/02,21:00 12/02
Liga Santander,jornada-23,Granada,Atlético,14:00 13/02,14:00 13/02
Liga Santander,jornada-23,Sevilla,Huesca,16:15 13/02,16:15 13/02
Liga Santander,jornada-23,Celta,Elche,18:30 13/02,18:30 13/02
Liga Santander,jornada-23,FC Barcelona,Alavés,21:00 13/02,21:00 13/02
Liga Santander,jornada-23,Getafe,R. Sociedad,14:00 14/02,14:00 14/02
