Temporada,Conferencia,Equipo,Victorias,Derrotas,V/D,PuntosPorJuego,PuntosRecibidosPorJuego,SRS
2018-2019,este,Philadelphia 76ers*,51,31,.622,115.2,112.5,2.25
2018-2019,este,Boston Celtics*,49,33,.598,112.4,108.0,3.90
2018-2019,este,Indiana Pacers*,48,34,.585,108.0,104.7,2.76
2018-2019,este,Brooklyn Nets*,42,40,.512,112.2,112.3,-0.40
2018-2019,este,Orlando Magic*,42,40,.512,107.3,106.6,0.28
2018-2019,este,Detroit Pistons*,41,41,.500,107.0,107.3,-0.56
2018-2019,este,Charlotte Hornets,39,43,.476,110.7,111.8,-1.32
2018-2019,este,Miami Heat,39,43,.476,105.7,105.9,-0.45
2018-2019,este,Washington Wizards,32,50,.390,114.0,116.9,-3.30
2018-2019,este,Atlanta Hawks,29,53,.354,113.3,119.4,-6.06
2018-2019,este,Chicago Bulls,22,60,.268,104.9,113.4,-8.32
2018-2019,este,Cleveland Cavaliers,19,63,.232,104.5,114.1,-9.39
2018-2019,este,New York Knicks,17,65,.207,104.6,113.8,-8.93
2018-2019,oeste,Golden State Warriors*,57,25,.695,117.7,111.2,6.42
2018-2019,oeste,Denver Nuggets*,54,28,.659,110.7,106.7,4.19
2018-2019,oeste,Portland Trail Blazers*,53,29,.646,114.7,110.5,4.43
2018-2019,oeste,Houston Rockets*,53,29,.646,113.9,109.1,4.96
2018-2019,oeste,Utah Jazz*,50,32,.610,111.7,106.5,5.28
2018-2019,oeste,Oklahoma City Thunder*,49,33,.598,114.5,111.1,3.56
2018-2019,oeste,San Antonio Spurs*,48,34,.585,111.7,110.0,1.80
2018-2019,oeste,Los Angeles Clippers*,48,34,.585,115.1,114.3,1.09
2018-2019,oeste,Sacramento Kings,39,43,.476,114.2,115.3,-0.81
2018-2019,oeste,Los Angeles Lakers,37,45,.451,111.8,113.5,-1.33
2018-2019,oeste,Minnesota Timberwolves,36,46,.439,112.5,114.0,-1.02
2018-2019,oeste,Memphis Grizzlies,33,49,.402,103.5,106.1,-2.08
2018-2019,oeste,New Orleans Pelicans,33,49,.402,115.4,116.8,-1.10
2018-2019,oeste,Dallas Mavericks,33,49,.402,108.9,110.1,-0.87
2018-2019,oeste,Phoenix Suns,19,63,.232,107.5,116.8,-8.61
2017-2018,este,Toronto Raptors*,59,23,.720,111.7,103.9,7.29
2017-2018,este,Boston Celtics*,55,27,.671,104.0,100.4,3.23
2017-2018,este,Philadelphia 76ers*,52,30,.634,109.8,105.3,4.30
2017-2018,este,Cleveland Cavaliers*,50,32,.610,110.9,109.9,0.59
2017-2018,este,Indiana Pacers*,48,34,.585,105.6,104.2,1.18
2017-2018,este,Miami Heat*,44,38,.537,103.4,102.9,0.15
2017-2018,este,Milwaukee Bucks*,44,38,.537,106.5,106.8,-0.45
2017-2018,este,Washington Wizards*,43,39,.524,106.6,106.0,0.53
2017-2018,este,Detroit Pistons,39,43,.476,103.8,103.9,-0.26
2017-2018,este,Charlotte Hornets,36,46,.439,108.2,108.0,0.07
2017-2018,este,New York Knicks,29,53,.354,104.5,108.0,-3.53
2017-2018,este,Brooklyn Nets,28,54,.341,106.6,110.3,-3.67
2017-2018,este,Chicago Bulls,27,55,.329,102.9,110.0,-6.84
2017-2018,este,Orlando Magic,25,57,.305,103.4,108.2,-4.92
2017-2018,este,Atlanta Hawks,24,58,.293,103.4,108.8,-5.30
2017-2018,oeste,Houston Rockets*,65,17,.793,112.4,103.9,8.21
2017-2018,oeste,Golden State Warriors*,58,24,.707,113.5,107.5,5.79
2017-2018,oeste,Portland Trail Blazers*,49,33,.598,105.6,103.0,2.60
2017-2018,oeste,Oklahoma City Thunder*,48,34,.585,107.9,104.4,3.42
2017-2018,oeste,Utah Jazz*,48,34,.585,104.1,99.8,4.47
2017-2018,oeste,New Orleans Pelicans*,48,34,.585,111.7,110.4,1.48
2017-2018,oeste,San Antonio Spurs*,47,35,.573,102.7,99.8,2.89
2017-2018,oeste,Minnesota Timberwolves*,47,35,.573,109.5,107.3,2.35
2017-2018,oeste,Denver Nuggets,46,36,.561,110.0,108.5,1.57
2017-2018,oeste,Los Angeles Clippers,42,40,.512,109.0,109.0,0.15
2017-2018,oeste,Los Angeles Lakers,35,47,.427,108.1,109.6,-1.44
2017-2018,oeste,Sacramento Kings,27,55,.329,98.8,105.8,-6.60
2017-2018,oeste,Dallas Mavericks,24,58,.293,102.3,105.4,-2.70
2017-2018,oeste,Memphis Grizzlies,22,60,.268,99.3,105.5,-5.81
2017-2018,oeste,Phoenix Suns,21,61,.256,103.9,113.3,-8.80
2016-2017,este,Boston Celtics*,53,29,.646,108.0,105.4,2.25
2016-2017,este,Cleveland Cavaliers*,51,31,.622,110.3,107.2,2.87
2016-2017,este,Toronto Raptors*,51,31,.622,106.9,102.6,3.65
2016-2017,este,Washington Wizards*,49,33,.598,109.2,107.4,1.36
2016-2017,este,Atlanta Hawks*,43,39,.524,103.2,104.0,-1.23
2016-2017,este,Milwaukee Bucks*,42,40,.512,103.6,103.8,-0.45
2016-2017,este,Indiana Pacers*,42,40,.512,105.1,105.3,-0.64
2016-2017,este,Chicago Bulls*,41,41,.500,102.9,102.4,0.03
2016-2017,este,Miami Heat,41,41,.500,103.2,102.1,0.77
